id,ballkid,captain,count,duration
1318,621,575,2,4:37:02.124391
1343,522,585,1,3:00:00
1400,534,596,1,1:00:00
1361,625,590,1,1:00:00
1322,571,581,1,2:00:00
1326,519,586,1,2:00:00
1323,568,586,1,2:00:00
1324,628,586,1,2:00:00
1336,561,590,1,1:00:00
1334,524,594,2,4:27:10.999455
1315,619,594,1,3:00:00
1354,581,598,1,1:00:00
1393,595,582,1,0:10:11.247046
1365,590,582,2,1:02:53.091720
1368,549,574,1,2:47:39.580331
1347,617,585,1,4:00:00
1372,529,639,2,2:00:00
1352,615,581,1,5:00:00
1379,562,639,3,6:00:00
1321,518,575,3,6:09:38.114374
1362,623,590,2,2:00:00
1355,521,590,1,1:00:00
1385,523,593,1,5:00:00
1319,609,575,1,2:00:00
1404,549,596,1,1:00:00
1407,552,589,1,1:00:00
1371,591,593,1,5:00:00
1328,563,581,1,2:00:00
1330,538,640,1,2:53:00.964433
1390,582,595,1,0:10:11.247046
1339,614,581,1,3:00:00
1375,625,639,2,2:00:00
1358,529,590,1,1:00:00
1348,585,578,1,4:00:00
1399,630,593,2,5:33:33.661420
1311,552,586,1,2:00:00
1406,546,599,2,2:00:00
1403,519,574,1,1:00:00
1316,611,574,1,1:00:00
1357,639,590,2,1:29:37.670723
1376,629,639,2,2:00:00
1340,614,598,1,1:00:00
1409,552,598,1,1:00:00
1397,513,581,1,1:00:00
1389,562,595,2,0:10:21.245412
1351,631,592,1,2:52:02.536206
1366,590,589,2,1:29:37.670723
1350,607,592,1,4:00:00
1356,629,590,1,1:00:00
1331,583,640,1,0:31:54.900466
1312,566,599,2,3:22:00.391114
1062,608,585,2,6:04:55.192309
1408,552,581,1,3:00:00
1338,542,592,2,4:46:38.562493
1369,523,591,1,5:00:00
1373,521,639,2,2:00:00
1402,519,596,1,3:00:00
1325,623,586,3,1:18:15.137030
1392,622,595,1,0:10:11.247046
1345,564,585,1,4:00:00
1329,622,582,1,2:00:00
1388,529,595,1,0:10:11.247046
1454,585,581,1,0:57:29.499243
1442,598,589,1,1:00:00
1473,626,589,1,1:00:00
1416,551,593,2,5:33:33.661420
1458,620,589,4,4:23:14.722909
1439,626,598,1,3:00:00
1433,615,598,1,3:00:00
1432,606,598,1,0:42:05.262052
1480,589,585,1,1:00:00
1509,613,597,2,1:09:38.114374
1476,585,589,1,1:00:00
1431,606,581,1,0:42:05.262052
1414,620,593,5,13:25:26.680848
1495,612,591,1,1:00:00
1425,617,578,1,4:00:00
1449,536,589,1,0:57:13.873169
1417,595,592,1,1:00:00
1474,546,589,1,1:00:00
1496,556,591,2,5:00:00
1440,589,598,1,1:00:00
1506,518,597,2,3:09:38.114374
1507,553,597,3,2:12:31.206094
1444,554,595,2,2:00:00
1461,544,595,1,0:00:14.601209
1462,594,595,1,0:00:14.601209
1463,536,595,1,0:00:14.601209
1466,618,595,1,0:00:14.601209
1508,594,597,1,1:00:00
1467,595,594,1,0:00:14.601209
1504,549,575,1,0:09:38.114374
1360,582,590,2,1:02:53.091720
1471,571,589,1,1:00:00
1472,583,589,1,1:00:00
1438,571,598,1,1:00:00
1469,568,589,1,1:00:00
1465,620,595,3,3:25:26.680848
1420,525,578,2,6:00:00
1421,559,578,1,4:00:00
1500,560,592,1,1:00:00
1435,557,597,3,4:06:40.706641
1494,535,591,1,1:00:00
1497,521,591,1,1:00:00
1502,597,575,1,0:09:38.114374
1443,515,595,1,1:00:00
1486,634,585,2,1:40:26.806801
1488,556,574,1,1:00:00
1501,512,592,1,1:00:00
