id,ballkid,court,count,duration
479210,525,Court 5,3,3:00:00
479211,525,Grandstand,4,4:00:00
479298,544,Court 4,7,6:41:26.228467
479299,544,Harris,6,5:21:53.543827
479300,544,Court 5,3,3:00:00
479301,544,Grandstand,5,5:00:00
479338,552,Court 4,6,5:45:45.643779
479339,552,Harris,6,6:00:00
479186,520,Grandstand,7,6:27:07.449812
479516,589,Grandstand,4,3:33:58.249646
479442,575,Stadium,7,5:37:03.421679
479443,575,Court 4,8,6:38:08.778632
479444,575,Harris,9,8:14:08.197109
479445,575,Court 5,7,4:42:07.955916
479446,575,Grandstand,3,3:00:00
479572,602,Stadium,3,2:00:52.174990
479573,602,Court 4,0,0:00:00
479574,602,Harris,0,0:00:00
479525,591,Court 5,3,3:00:00
479526,591,Grandstand,10,9:07:44.998449
479330,550,Court 5,2,2:00:00
479331,550,Grandstand,4,4:00:00
479354,555,Harris,0,0:00:00
479355,555,Court 5,0,0:00:00
479547,596,Stadium,12,12:00:00
479548,596,Court 4,5,4:51:20.860305
