id,ballkid,year,duration,count
110865,605,2023,"2 days, 2:39:51.670403",5
110864,604,2023,9:36:14.308441,1
110863,603,2023,23:36:41.887913,4
110862,602,2023,23:43:35.889913,3
110861,601,2023,22:34:19.421547,2
110860,600,2023,13:13:05.290079,3
110859,599,2023,"4 days, 6:40:57.738087",9
110858,598,2023,"1 day, 11:23:08.312234",5
110857,596,2023,"52 days, 1:03:34.428991",10
110856,595,2023,"1 day, 9:35:41.615152",5
110855,594,2023,"52 days, 12:29:53.895232",8
110854,593,2023,"52 days, 1:57:25.417549",9
110853,592,2023,"53 days, 1:54:38.022745",10
110852,591,2023,"53 days, 4:05:46.349643",10
110851,590,2023,"51 days, 15:28:51.860779",8
110850,589,2023,"50 days, 23:35:21.027315",8
110849,588,2023,"1 day, 17:07:06.756014",7
110848,587,2023,"51 days, 5:38:05.651891",8
110847,586,2023,"1 day, 19:05:58.514664",6
110846,644,2023,"52 days, 6:25:18.738515",9
110845,584,2023,"2 days, 17:24:44.412595",7
110844,583,2023,"52 days, 11:49:16.921912",10
110843,582,2023,"52 days, 23:07:35.798844",10
110842,581,2023,"53 days, 3:13:07.778616",10
110841,580,2023,"52 days, 2:13:20.072660",8
110840,579,2023,"1 day, 4:25:58.131828",3
110839,578,2023,"52 days, 13:12:48.853283",9
110838,577,2023,18:14:23.067872,3
110837,576,2023,0:00:00,0
110836,575,2023,"3 days, 11:16:33.887348",7
110835,574,2023,"53 days, 4:46:53.491944",10
110834,573,2023,"50 days, 2:23:19.260549",6
110833,572,2023,"52 days, 23:35:35.007715",10
110832,571,2023,"1 day, 20:30:20.194012",6
110831,570,2023,0:00:00,0
110830,569,2023,0:00:00,0
110829,568,2023,21:59:53.780325,3
110828,567,2023,0:00:00,0
110827,566,2023,"2 days, 1:22:10.562457",7
110826,565,2023,"52 days, 3:50:21.429101",10
110825,564,2023,"1 day, 11:40:51.696367",4
110824,563,2023,"51 days, 1:29:39.319420",8
110823,562,2023,"52 days, 8:31:11.875188",9
110822,561,2023,20:57:22.700290,3
110821,558,2023,"50 days, 21:10:13.822020",7
110820,557,2023,"52 days, 9:10:56.481860",10
110819,556,2023,"52 days, 12:34:38.572546",10
110818,555,2023,0:00:00,0
110817,554,2023,"52 days, 10:00:12.750095",9
110816,553,2023,"53 days, 4:34:44.092072",10
110815,552,2023,"52 days, 3:34:27.749882",11
110814,551,2023,"52 days, 14:07:14.115673",9
110813,550,2023,"52 days, 1:54:54.509337",9
110812,549,2023,"51 days, 15:22:01.686382",8
110811,548,2023,"2 days, 8:24:46.554977",6
110810,547,2023,"1 day, 21:07:37.692048",6
110809,546,2023,"1 day, 3:30:56.657116",5
110808,545,2023,"1 day, 11:31:10.905563",5
110807,544,2023,"3 days, 9:28:58.568605",7
110806,543,2023,0:00:00,0
110805,542,2023,"1 day, 10:00:32.756812",5
110804,540,2023,0:00:00,0
110803,539,2023,0:00:00,0
110802,538,2023,18:18:12.882163,2
110801,537,2023,23:29:35.974132,2
110800,536,2023,"2 days, 8:55:01.342787",7
110799,535,2023,"1 day, 22:00:58.362172",4
110798,534,2023,"52 days, 20:21:06.907618",9
110797,533,2023,16:13:33.479555,2
110796,532,2023,"2 days, 16:24:21.522763",6
110795,531,2023,0:00:00,0
110794,530,2023,0:00:00,0
110793,529,2023,"1 day, 5:19:55.218833",4
110792,528,2023,"2 days, 8:17:25.161223",6
110791,527,2023,"3 days, 15:36:06.134546",8
110790,526,2023,0:00:00,0
110789,525,2023,"52 days, 13:48:02.204103",10
110788,524,2023,"52 days, 15:14:03.689175",10
110787,523,2023,"1 day, 11:42:06.373704",3
110786,522,2023,21:32:34.905134,3
110785,521,2023,"52 days, 16:33:34.043231",9
110784,520,2023,"4 days, 10:49:11.047200",9
110783,518,2023,"3 days, 3:23:50.300409",7
110782,517,2023,20:02:43.013546,3
110781,516,2023,"1 day, 8:51:33.778251",4
110780,515,2023,"3 days, 1:38:01.121264",6
110779,514,2023,"2 days, 20:06:41.050720",7
110778,513,2023,"4 days, 5:43:04.205211",9
110777,512,2023,21:39:39.602477,4
106290,1,2023,0:00:00,0
