id,ballkid,year,court,count,duration
7220139,626,2024,Court 4,9,7:13:14.729056
7220138,626,2024,Stadium,17,15:42:28.896454
7220137,651,2024,Grandstand,0,0:00:00
7220136,651,2024,Court 5,0,0:00:00
7220135,651,2024,Harris,0,0:00:00
7220134,651,2024,Court 4,0,0:00:00
7220133,651,2024,Stadium,0,0:00:00
7220132,598,2024,Grandstand,0,0:00:00
7220131,598,2024,Court 5,0,0:00:00
7220130,598,2024,Harris,0,0:00:00
7220129,598,2024,Court 4,0,0:00:00
7220128,598,2024,Stadium,0,0:00:00
7220127,536,2024,Grandstand,5,5:00:00
7220126,536,2024,Court 5,3,3:00:00
7220125,536,2024,Harris,9,8:24:36.340821
7220124,536,2024,Court 4,7,6:33:47.135170
7220123,536,2024,Stadium,22,20:22:30.242009
7220122,646,2024,Grandstand,0,0:00:00
7220121,646,2024,Court 5,0,0:00:00
7220120,646,2024,Harris,0,0:00:00
7220119,646,2024,Court 4,0,0:00:00
7220118,646,2024,Stadium,0,0:00:00
7220117,682,2024,Grandstand,7,7:00:00
7220116,682,2024,Court 5,3,"-1 day, 22:42:00.993385"
7220115,682,2024,Harris,7,6:30:04.925338
7220114,682,2024,Court 4,7,6:52:57.444067
7220113,682,2024,Stadium,6,5:55:05.799178
7220112,609,2024,Grandstand,4,4:00:00
7220111,609,2024,Court 5,0,0:00:00
7220110,609,2024,Harris,2,2:00:00
7220109,609,2024,Court 4,5,5:00:00
7220108,609,2024,Stadium,5,5:00:00
7220107,659,2024,Grandstand,3,3:00:00
7220106,659,2024,Court 5,4,4:00:00
7220105,659,2024,Harris,6,5:24:36.340821
7220104,659,2024,Court 4,4,4:00:00
7220103,659,2024,Stadium,6,5:55:05.799178
7220102,645,2024,Grandstand,0,0:00:00
7220101,645,2024,Court 5,0,0:00:00
7220100,645,2024,Harris,1,1:00:00
7220099,645,2024,Court 4,1,1:00:00
7220098,645,2024,Stadium,1,1:00:00
7220097,632,2024,Grandstand,5,5:00:00
7220096,632,2024,Court 5,0,0:00:00
7220095,632,2024,Harris,2,2:00:00
7220094,632,2024,Court 4,4,3:52:57.444067
7220093,632,2024,Stadium,2,2:00:00
7220092,580,2024,Grandstand,0,0:00:00
7220091,580,2024,Court 5,0,0:00:00
7220090,580,2024,Harris,0,0:00:00
7220089,580,2024,Court 4,0,0:00:00
7220088,580,2024,Stadium,0,0:00:00
7220087,679,2024,Grandstand,3,2:57:49.283521
7220086,679,2024,Court 5,3,3:00:00
7220085,679,2024,Harris,7,7:00:00
7220084,679,2024,Court 4,7,5:33:58.985753
7220083,679,2024,Stadium,10,8:29:03.027381
7220082,667,2024,Grandstand,2,2:00:00
7220081,667,2024,Court 5,2,2:00:00
7220080,667,2024,Harris,2,2:00:00
7220079,667,2024,Court 4,3,3:00:00
7220078,667,2024,Stadium,5,5:00:00
7220077,520,2024,Grandstand,8,7:21:48.652848
7220076,520,2024,Court 5,3,1:48:12.274619
