id,ballkid,captain,year,count,duration
3331,665,590,2024,1,1:41:31.578256
3330,634,590,2024,2,5:01:48.863245
3329,664,590,2024,1,1:41:31.578256
3328,514,590,2024,3,5:14:42.970680
3327,636,590,2024,1,1:41:31.578256
3326,577,590,2024,1,0:18:28.421744
3325,574,590,2024,4,14:41:12.270410
3324,628,590,2024,1,6:18:28.421744
3323,611,590,2024,1,1:41:31.578256
3322,611,582,2024,2,1:40:53.344269
3321,511,683,2024,2,7:38:29.006014
3320,673,639,2024,1,1:00:54.782928
3319,632,590,2024,1,1:41:31.578256
3318,670,590,2024,5,8:09:51.946292
3317,523,577,2024,1,2:00:00
3316,523,590,2024,1,6:18:28.421744
3315,523,574,2024,1,8:00:00
3314,575,683,2024,1,6:00:00
3313,683,575,2024,1,6:00:00
3312,551,639,2024,1,6:00:00
3311,518,639,2024,1,6:00:00
3310,622,639,2024,1,6:00:00
3309,676,639,2024,1,4:00:00
3308,613,683,2024,3,8:00:00
3307,535,590,2024,2,2:14:42.855575
3306,618,639,2024,1,6:00:00
3305,534,596,2024,1,7:34:31.863814
3304,532,577,2024,1,2:47:51.004526
3303,672,577,2024,1,4:00:00
3302,644,590,2024,1,0:00:05.422980
3301,590,644,2024,1,0:00:05.422980
3300,514,644,2024,1,0:18:33.844724
3299,632,644,2024,1,0:18:33.844724
3298,650,639,2024,2,8:23:05.843834
3297,615,595,2024,1,2:22:20.227962
3296,544,683,2024,1,6:00:00
3295,529,595,2024,1,2:22:20.227962
3294,513,599,2024,1,7:49:23.016178
3293,513,582,2024,2,8:07:29.152637
3292,674,575,2024,2,9:00:00
3291,674,683,2024,3,5:33:51.794819
3290,678,596,2024,1,7:31:34.244414
3289,545,596,2024,2,10:31:26.347282
3288,657,596,2024,1,7:33:36.979838
3287,621,596,2024,2,11:34:31.863814
3286,626,596,2024,4,15:34:31.863814
3285,656,596,2024,1,7:34:31.863814
3284,525,597,2024,4,14:04:01.973936
3283,673,597,2024,1,5:33:47.135170
3282,614,597,2024,1,4:00:00
3281,536,597,2024,3,13:33:47.135170
3280,679,597,2024,1,5:33:47.135170
3279,562,597,2024,3,9:33:47.135170
3278,616,597,2024,3,9:33:47.135170
3277,556,575,2024,3,10:00:00
3276,666,683,2024,1,4:00:00
3275,663,595,2024,1,2:22:20.227962
3274,601,595,2024,1,2:22:20.227962
3273,617,596,2024,1,6:00:00
3272,572,595,2024,1,2:22:20.227962
3271,595,572,2024,1,2:22:20.227962
3270,601,572,2024,1,6:00:00
3269,635,572,2024,1,8:00:00
3268,520,572,2024,3,13:48:12.274619
3267,615,572,2024,2,11:18:05.930940
3266,663,572,2024,1,8:00:00
3265,667,595,2024,1,0:22:20.227962
3264,609,595,2024,1,2:22:20.227962
